WWWWWWWWWWWWWWWW
W   !!!        W
W *       @    W
WR             W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
W              W
WWWWWWWWWWWWWWWW
